Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN,VOLUME
2017-04-24,237.17,237.41,234.5628,237.18,119209877
2017-04-25,238.55,238.95,237.81,237.91,76698265
2017-04-26,238.4,239.53,238.35,238.51,84702455
2017-04-27,238.6,238.95,237.98,238.77,57410326
2017-04-28,238.08,238.93,237.93,238.9,63532845
2017-05-01,238.68,239.17,238.195,238.68,66882521
2017-05-02,238.77,238.98,238.3,238.84,57375732
2017-05-03,238.48,238.8775,237.7,238.29,73137731
2017-05-04,238.76,238.9225,237.78,238.83,61462732
2017-05-05,239.7,239.72,238.68,239.19,62001269
2017-05-08,239.66,239.92,239.17,239.75,48385730
2017-05-09,239.44,240.19,239.04,239.96,51363200
2017-05-10,239.87,239.87,239.15,239.39,54293799
2017-05-11,239.38,239.57,238.13,239.35,62358346
2017-05-12,238.98,239.4273,238.67,239.09,53912730
2017-05-15,240.3,240.44,239.45,239.47,61918937
2017-05-16,240.08,240.67,239.63,240.64,51241791
2017-05-17,235.82,238.64,235.75,238.1,172174107
2017-05-18,236.77,237.75,235.43,235.73,107047656
2017-05-19,238.31,239.08,237.27,237.33,115011373
2017-05-22,239.52,239.71,238.82,238.9,61010602
2017-05-23,240.05,240.24,239.51,239.95,48341683
2017-05-24,240.61,240.73,239.93,240.32,49181099
2017-05-25,241.76,242.08,240.96,241.2,64071661
2017-05-26,241.71,241.9,241.45,241.54,46629905
2017-05-29,241.71,241.9,241.45,241.54,46629905
2017-05-30,241.5,241.79,241.16,241.34,35201897
2017-05-31,241.44,241.88,240.64,241.84,91796016
2017-06-01,243.36,243.38,241.64,241.97,68962024
2017-06-02,244.17,244.35,243.08,243.42,88666128
2017-06-05,243.99,244.3,243.76,243.97,44698825
2017-06-06,243.21,243.98,243.12,243.34,50375430
2017-06-07,243.66,243.92,242.83,243.6,54144311
2017-06-08,243.78,244.33,243.17,243.77,65950691
2017-06-09,243.41,245.01,241.95,244.09,132256362
2017-06-12,243.36,243.42,242.38,243.13,86108102
2017-06-13,244.55,244.61,243.5799,243.98,60066953
2017-06-14,244.24,244.87,243.29,244.86,78602311
2017-06-15,243.77,243.91,242.36,242.68,66464888
2017-06-16,242.64,242.83,241.6337,242.77,84553097
2017-06-19,244.66,244.73,243.48,243.59,65123802
2017-06-20,243.01,244.26,242.99,244.25,56906368
2017-06-21,242.95,243.59,242.41,243.42,55977569
2017-06-22,242.84,243.53,242.64,242.96,44148059
2017-06-23,243.13,243.51,242.47,242.91,66986801
2017-06-26,243.29,244.38,243.045,243.9,56700477
2017-06-27,241.33,243.38,241.31,243.04,82247666
2017-06-28,243.49,243.715,242.23,242.5,70042599
2017-06-29,241.35,243.72,239.955,243.66,106949719
2017-06-30,241.8,242.71,241.575,242.28,86820694
2017-07-03,242.21,243.38,242.21,242.88,39153806
2017-07-04,242.21,243.38,242.21,242.88,39153806
2017-07-05,242.77,243.01,241.7,242.63,54427596
2017-07-06,240.55,242.03,240.34,241.89,66115317
2017-07-07,242.11,242.28,240.5645,241.21,57972268
2017-07-10,242.37,242.8,241.76,241.95,36663274
2017-07-11,242.19,242.55,240.85,242.16,50354614
2017-07-12,244.01,244.2,243.3,243.3,59610405
2017-07-13,244.42,244.55,243.76,244.02,39471637
2017-07-14,245.56,245.97,244.31,244.43,60262692
2017-07-17,245.53,245.91,245.33,245.47,33531917
2017-07-18,245.66,245.72,244.67,245.06,42742498
2017-07-19,246.99,247,246.01,246.02,51034260
2017-07-20,247.1,247.42,246.47,247.28,47135183
2017-07-21,246.88,246.91,246.18,246.44,88711019
2017-07-24,246.82,246.98,246.28,246.79,46622256
2017-07-25,247.42,247.8,247.16,247.68,54915591
2017-07-26,247.43,247.79,247.13,247.75,47575422
2017-07-27,247.2,248,245.68,247.96,70766568
2017-07-28,246.91,247.06,246.13,246.65,50088359
2017-07-31,246.77,247.48,246.53,247.37,65838659
2017-08-01,247.32,247.5,246.716,247.46,55050401
2017-08-02,247.44,247.6,246.37,247.47,47211216
2017-08-03,246.96,247.34,246.64,247.31,40855997
2017-08-04,247.41,247.79,246.97,247.52,60191838
2017-08-07,247.87,247.87,247.37,247.49,31995021
2017-08-08,247.26,248.91,246.83,247.51,61719353
2017-08-09,247.25,247.31,246.06,246.47,62632619
2017-08-10,243.76,246.44,243.7,246.29,120479470
2017-08-11,244.12,244.8,243.75,244.02,74869947
2017-08-14,246.54,246.79,245.55,245.59,73291919
2017-08-15,246.51,247,246.16,246.98,55242746
2017-08-16,246.94,247.57,246.45,247.11,56715544
2017-08-17,243.09,246.6,243.09,246.24,128490396
2017-08-18,242.71,244.189,242.2,242.9,136747986
2017-08-21,242.9,243.2,241.83,242.64,65469736
2017-08-22,245.44,245.62,243.55,243.57,63140101
2017-08-23,244.56,245.05,244.16,244.33,50203837
2017-08-24,243.99,245.18,243.75,245,50741671
2017-08-25,244.56,245.61,244.39,244.9,64445912
2017-08-28,244.57,245.2,244.09,245.17,40565606
2017-08-29,244.85,245.15,242.93,243.06,51135715
2017-08-30,246.01,246.32,244.62,244.83,62030805
2017-08-31,247.49,247.77,246.0473,246.72,103803880
2017-09-01,247.84,248.33,247.67,247.92,62006989
2017-09-04,247.84,248.33,247.67,247.92,62006989
2017-09-05,246.06,247.52,244.95,247.26,91398777
2017-09-06,246.9,247.28,246.23,246.84,57916867
2017-09-07,246.87,247.27,246.4,247.25,58034730
2017-09-08,246.58,247.11,246.3,246.54,63832825
2017-09-11,249.21,249.3,248.02,248.04,71364848
2017-09-12,250.05,250.09,249.42,249.63,56896027
2017-09-13,250.17,250.21,249.59,249.72,59228002
2017-09-14,250.09,250.32,249.6,249.8,95446349
2017-09-15,249.19,249.29,248.57,248.69,95432382
2017-09-18,249.72,250.12,249.28,249.61,46235238
2017-09-19,249.97,250.07,249.6,250,47108148
2017-09-20,250.06,250.19,248.92,250.07,59574083
2017-09-21,249.39,249.98,249.185,249.88,48211398
2017-09-22,249.44,249.63,249.02,249.05,51214032
2017-09-25,248.93,249.5532,248.08,249.15,57064357
2017-09-26,249.08,249.7,248.805,249.42,54081959
2017-09-27,250.05,250.49,248.87,249.88,81001426
2017-09-28,250.35,250.44,249.63,249.73,44778841
2017-09-29,251.23,251.32,250.13,250.34,85578002
2017-10-02,252.32,252.32,251.2926,251.49,59022985
2017-10-03,252.86,252.89,252.23,252.46,66810169
2017-10-04,253.16,253.44,252.56,252.69,55953619
2017-10-05,254.66,254.68,253.196,253.54,63522757
2017-10-06,254.37,254.7008,253.85,254.15,80645998
2017-10-09,253.95,254.7,253.65,254.63,35803138
2017-10-10,254.62,255.05,253.98,254.6,43057363
2017-10-11,255.02,255.02,254.32,254.51,47674325
2017-10-12,254.64,255.06,254.365,254.66,47065144
2017-10-13,254.95,255.27,254.64,255.14,54800435
2017-10-16,255.29,255.51,254.82,255.21,38221675
2017-10-17,255.47,255.52,254.98,255.23,31560964
2017-10-18,255.72,255.95,255.5,255.9,40888330
2017-10-19,255.79,255.83,254.35,254.83,61903788
2017-10-20,257.11,257.14,255.7744,256.7,89176377
2017-10-23,256.11,257.51,256.02,257.48,63915306
2017-10-24,256.56,256.83,256.15,256.6,66935910
2017-10-25,255.29,256.31,254,256.18,103715291
2017-10-26,255.62,256.3,255.48,255.99,69797972
2017-10-27,257.71,257.89,255.6254,256.47,85562544
2017-10-30,256.75,257.6,256.41,257.07,54285687
2017-10-31,257.15,257.44,256.805,257.18,60304781
2017-11-01,257.49,258.43,257.07,258.04,54202736
2017-11-02,257.59,257.75,256.19,257.41,56449535
2017-11-03,258.45,258.5,257.3,257.77,59589730
2017-11-06,258.85,259,258.22,258.3,49652598
2017-11-07,258.67,259.35,258.09,258.97,57502161
2017-11-08,259.11,259.22,258.15,258.47,50469579
2017-11-09,258.17,258.39,256.36,257.73,95085497
2017-11-10,258.09,258.2926,257.37,257.73,59984662
2017-11-13,258.33,258.59,257.27,257.31,50228648
2017-11-14,257.73,257.85,256.52,257.41,61315152
2017-11-15,256.44,257.22,255.63,256.62,80811525
2017-11-16,258.62,259.04,257.4748,257.52,67777027
2017-11-17,257.86,258.5882,257.77,258.22,75756833
2017-11-20,258.3,258.525,257.86,258.14,48075514
2017-11-21,259.99,260.2,258.2627,259.18,69176799
2017-11-22,259.76,260.15,259.57,260,45033392
2017-11-23,259.76,260.15,259.57,260,45033392
2017-11-24,260.36,260.48,260.16,260.32,27856514
2017-11-27,260.23,260.75,260,260.41,52274922
2017-11-28,262.87,262.9,260.655,260.76,98971719
2017-11-29,262.71,263.63,262.2,263.02,77512102
2017-11-30,265.01,266.05,263.67,263.76,127894389
2017-12-01,264.46,265.31,260.76,264.76,164390902
2017-12-04,264.14,266.8,264.08,266.31,94040560
2017-12-05,263.19,265.15,263.04,264.43,77994544
2017-12-06,263.24,263.73,262.71,262.87,75898566
2017-12-07,264.07,264.43,262.94,263.09,77218569
