date,forecast_return,lower_80,upper_80,lower_95,upper_95,cumulative_return,direction
2025-10-31,0.0019261234182497023,-0.01209103646627654,0.015943283302775946,-0.019511272686476074,0.02336351952297548,0.0019261234182497023,Up
2025-11-03,-5.171895965235904e-4,-0.014603198418938033,0.013568819225890852,-0.022059881065293004,0.021025501872245826,0.0014089338217261119,Down
2025-11-04,0.0010081618225484435,-0.013101722712175105,0.015118046357271991,-0.02057104439715977,0.022587368042256657,0.0024170956442745553,Up
2025-11-05,0.00050479597714682585,-0.01360656400875381,0.014616155963047462,-0.021076666750411546,0.0220862587047052,0.002921891621421381,Up
2025-11-06,4.589075830893765e-5,-0.01407010473811082,0.014161886254728697,-0.021542661370809006,0.02163444288742688,0.0029677823797303188,Up
2025-11-07,0.0012738009609796516,-0.012864867151725716,0.01541246907368502,-0.020349425942489806,0.02289702786444911,0.004241583340709971,Up
2025-11-10,-4.421547245947752e-4,-0.0146208078766994,0.01373649842750985,-0.022126533468731415,0.02124222401954186,0.0037994286161151954,Down
2025-11-11,0.0014459365957261497,-0.012778230255016221,0.01567010344646852,-0.020308049343728672,0.023199922535180974,0.005245365211841345,Up
2025-11-12,-3.144095491911206e-4,-0.014576059473191802,0.01394724037480956,-0.022125720902301808,0.021496901803919565,0.0049309556626502245,Down
2025-11-13,0.0010762969401363564,-0.013207294578959652,0.015359888459232366,-0.020768571186893087,0.022921165067165798,0.0060072526027865805,Up
2025-11-14,2.111867882757044e-4,-0.014079967864781877,0.014502341441333284,-0.021645248153990417,0.022067621730541824,0.006218439391062285,Up
2025-11-17,4.923529432369811e-4,-0.013799246598514123,0.014783952484988086,-0.021364762397570937,0.022349468284044896,0.006710792334299266,Up
2025-11-18,7.600637703357088e-4,-0.013533076550546346,0.015053204091217763,-0.021099407988806034,0.022619535529477455,0.007470856104634975,Up
2025-11-19,5.458888294218508e-5,-0.01424593457819265,0.014355112344077022,-0.02181617441481362,0.021925352180697993,0.00752544498757716,Up
2025-11-20,0.0010369376257332327,-0.013276544392366097,0.015350419643832562,-0.02085364407467204,0.02292751932613851,0.008562382613310392,Up
2025-11-21,-4.176302928964905e-5,-0.014369968637464111,0.014286442578884813,-0.021954862517543847,0.021871336458964552,0.008520619584020743,Down
2025-11-24,9.622227794916383e-4,-0.01337809058379325,0.015302536142776527,-0.020969393922262262,0.022893839481245543,0.009482842363512382,Up
2025-11-25,1.7066961943516042e-4,-0.014176710658841105,0.014518049897711428,-0.021771754996129856,0.02211309423500018,0.009653511982947543,Up
2025-11-26,6.612910049465619e-4,-0.013688506525593768,0.015011088535486891,-0.021284830478935337,0.02260741248882846,0.010314802987894105,Up
2025-11-27,5.04318067208404e-4,-0.013845614475074649,0.014854250609491457,-0.021442009899315582,0.022450646033732393,0.010819121055102509,Up
2025-11-28,3.482190062846213e-4,-0.014002229777454921,0.014698667790024163,-0.021598898483415216,0.02229533649598446,0.01116734006138713,Up
