model,RMSE,MAE,MAPE,directional_accuracy,avg_return,hit_rate
ARIMAX,0.011957782946640462,0.0071007714147066185,3016.469443961235,52.69230769230769,2.598545298758394e-4,38.07692307692307
TVP,0.015940651726274395,0.008788051884207651,7952.068181732968,45.38461538461539,-2.1038705574578185e-4,26.153846153846157
