model1,model2,dm_statistic,dm_pvalue,rmse1,rmse2,better_model,significant
AR,MA,-0.32318912900461105,0.7465520133223964,0.01005168595719723,0.010081435068543403,AR,FALSE
AR,ARIMA,0.7732738212242548,0.4393603454178605,0.01005168595719723,0.010004336417488055,ARIMA,FALSE
MA,ARIMA,0.6610255381467071,0.5085959359910601,0.010081435068543403,0.010004336417488055,ARIMA,FALSE
